ID;ФИО;ДатаРождения;Город;Телефон;Email;Образование;Комментарий
677;Фёдоров Даниил Фёдорович;1992-08-26;Уфа;+79675962208;ivan81240@bk.ru;Высшее;Бухгалтер
678;Павлов Алексей Евгеньевич;1977-06-10;Краснодар;+79606327251;sys74360@bk.ru;Аспирантура;Системный администратор
679;Яковлев Глеб Иванович;1972-05-25;Челябинск;+79678969334;data78478@yandex.ru;Магистратура;Научный сотрудник
680;Соловьёв Степан Артурович;2001-01-23;Пермь;+79519751702;dev73639@gmail.com;Высшее;Автомеханик
681;Петров Антон Филиппович;1998-08-09;Санкт-Петербург;+79211364356;roma29499@inbox.ru;Аспирантура;Фрилансер
682;Никитин Лев Егорович;2003-08-25;Челябинск;+79517169549;kirill1510@inbox.ru;Аспирантура;Системный администратор
683;Козлов Маркел Платонович;2004-05-13;Челябинск;+79671075951;contact75434@mail.ru;Неоконченное высшее;Автомеханик
684;Андреев Пётр Михайлович;1984-11-10;Красноярск;+79336373682;oleg.kalinin@list.ru;Аспирантура;Научный сотрудник
685;Николаев Сергей Германович;1999-08-15;Ростов-на-Дону;+79281510622;demid.smirnov@gmail.com;Высшее;Научный сотрудник
686;Семёнов Олег Германович;1985-04-05;Москва;+79098779873;hard77542@inbox.ru;Неоконченное высшее;Маркетолог
687;Дмитриев Даниил Викторович;1992-09-22;Ростов-на-Дону;+79505462505;serg52353@bk.ru;Профессиональное;Дизайнер интерфейсов
688;Попов Тимофей Петрович;2006-12-30;Волгоград;+79873434849;max69997@gmail.com;Высшее;Курьер
689;Зайцев Руслан Кириллович;1986-11-03;Санкт-Петербург;+79813404134;info74632@yandex.ru;Среднее специальное;Маркетолог
690;Ильин Юрий Петрович;1977-09-20;Красноярск;+79133524699;account39939@gmail.com;Среднее специальное;Курьер
691;Кузнецов Роберт Георгиевич;1986-12-02;Самара;+79275701025;client29717@gmail.com;Аспирантура;Бариста
692;Соколов Платон Глебович;2001-09-29;Красноярск;+79137264143;alex38658@gmail.com;Высшее;Исследовательская деятельность
693;Волков Дмитрий Вадимович;1981-05-08;Волгоград;+79602740012;client38600@inbox.ru;Среднее специальное;Юрист
694;Семёнов Никита Маркелович;1996-10-05;Москва;+79252703868;tech66250@mail.ru;Аспирантура;Бариста
695;Смирнов Андрей Александрович;1987-09-29;Волгоград;+79171457507;web66562@mail.ru;Аспирантура;Исследовательская деятельность
696;Васильев Тимофей Янович;1972-07-29;Нижний Новгород;+79305456442;admin69512@bk.ru;Общее среднее;Сварщик
697;Филиппов Матвей Алексеевич;1983-08-28;Волгоград;+79274217660;soft41376@rambler.ru;Аспирантура;Дизайнер интерфейсов
698;Сергеев Илья Германович;1996-01-20;Санкт-Петербург;+79219212911;net87503@bk.ru;Неоконченное высшее;Исследовательская деятельность
699;Ильин Герман Матвеевич;1984-06-22;Ростов-на-Дону;+79281703578;konstantin.grigorev@mail.ru;Среднее специальное;Финансовый аналитик
700;Смирнов Сергей Олегович;1979-02-27;Саратов;+79171813181;net77398@yandex.ru;Общее среднее;Автомеханик
701;Егоров Демид Ильич;2003-03-07;Санкт-Петербург;+79995384148;box13363@rambler.ru;Профессиональное;Курьер
702;Яковлев Алексей Денисович;1986-07-12;Екатеринбург;+79676437356;contact10466@yandex.ru;Магистратура;Опыт работы 2 года
703;Воробьёв Тарас Максимович;1991-12-18;Тюмень;+79825565721;cloud59832@inbox.ru;Профессиональное;Системный администратор
704;Павлов Пётр Русланович;1983-08-11;Уфа;+79873473391;work38638@list.ru;Среднее специальное;Системный администратор
705;Дмитриев Семён Викторович;1974-03-22;Уфа;+79609148336;stepanov.german@rambler.ru;Аспирантура;Бариста
706;Егоров Виктор Русланович;1995-01-27;Уфа;+79605461597;work24956@bk.ru;Высшее;Бухгалтер
707;Лебедев Роман Семёнович;1976-07-04;Нижний Новгород;+79304457914;andrey87754@bk.ru;Среднее специальное;Готов к переезду
708;Попов Иван Владимирович;1978-12-06;Пермь;+79126777881;data41262@bk.ru;Неоконченное высшее;Юрист
709;Ильин Герман Янович;1979-09-17;Саратов;+79602715111;sys3207@bk.ru;Магистратура;Исследовательская деятельность
710;Воробьёв Иван Германович;1984-09-06;Москва;+79159419367;tech47343@gmail.com;Среднее специальное;Опыт работы 2 года
711;Макаров Павел Львович;1990-02-25;Пермь;+79924649930;ivan28887@rambler.ru;Профессиональное;Менеджер по продажам
712;Николаев Дмитрий Степанович;1971-11-18;Челябинск;+79223245932;robert.zaytsev@list.ru;Профессиональное;Бухгалтер
713;Кузнецов Тимофей Тимофеевич;1985-03-24;Казань;+79608786592;random78785@bk.ru;Аспирантура;Менеджер по продажам
714;Орлов Артур Константинович;1972-11-10;Омск;+79085660104;grigorevvladimir@yandex.ru;Общее среднее;Научный сотрудник
715;Воробьёв Алексей Маркович;1979-01-14;Краснодар;+79642278071;serg54701@bk.ru;Магистратура;Юрист
716;Козлов Руслан Романович;1973-02-26;Ростов-на-Дону;+79643262983;client62706@mail.ru;Высшее;Научный сотрудник
717;Попов Семён Игоревич;2000-09-06;Красноярск;+79933442652;web43383@inbox.ru;Магистратура;Исследовательская деятельность
718;Никитин Роберт Русланович;1985-04-01;Воронеж;+79307452944;net54506@list.ru;Среднее специальное;Менеджер по продажам
719;Борисов Фёдор Демидович;1978-08-28;Нижний Новгород;+79951651378;manager83759@yandex.ru;Аспирантура;Системный администратор
720;Борисов Ян Александрович;1989-10-12;Ростов-на-Дону;+79189197379;learn24980@rambler.ru;Среднее;Дизайнер интерфейсов
721;Калинин Герман Русланович;1978-05-06;Краснодар;+79604644374;filippov_daniil@gmail.com;Профессиональное;Финансовый аналитик
722;Григорьев Алексей Олегович;1980-06-06;Красноярск;+79136292530;web80880@mail.ru;Общее среднее;Бариста
723;Дмитриев Маркел Демидович;1993-05-22;Уфа;+79176145110;core48372@rambler.ru;Общее среднее;Разработчик ПО
724;Волков Платон Иванович;1973-06-26;Казань;+79279902576;mail82865@bk.ru;Профессиональное;Курьер
725;Филиппов Тимур Андреевич;2006-07-26;Омск;+79628610368;support26522@mail.ru;Общее среднее;Маркетолог
726;Козлов Борис Владимирович;1979-01-16;Новосибирск;+79148133380;yakovlev_taras@inbox.ru;Среднее специальное;Бариста
727;Соловьёв Антон Германович;1972-10-16;Краснодар;+79644123623;support76743@list.ru;Общее среднее;Опыт работы 2 года
728;Николаев Егор Семёнович;1982-11-03;Нижний Новгород;+79913182997;sergey.ilin@bk.ru;Магистратура;Готов к переезду
729;Волков Дмитрий Тимофеевич;2004-09-10;Тюмень;+79512504015;learn1873@list.ru;Аспирантура;Маркетолог
730;Волков Даниил Павлович;2005-02-16;Краснодар;+79611928951;job52897@mail.ru;Общее среднее;Исследовательская деятельность
731;Борисов Вадим Саввич;1976-05-27;Красноярск;+79838711949;egorov_savva@yandex.ru;Магистратура;Бухгалтер
732;Степанов Владимир Антонович;1980-11-20;Тольятти;+79625861992;sergeev_ruslan@rambler.ru;Среднее;Дизайнер интерфейсов
733;Новиков Роберт Германович;1988-04-17;Омск;+79237015798;stepanov_georgiy@bk.ru;Среднее специальное;Научный сотрудник
734;Лебедев Тарас Маркелович;1970-04-19;Краснодар;+79899312847;kozlovplaton@gmail.com;Неоконченное высшее;Логист
735;Филиппов Сергей Янович;1997-05-17;Челябинск;+79088999559;client58151@gmail.com;Общее среднее;Курьер
736;Смирнов Пётр Степанович;2000-03-29;Краснодар;+79188302622;vadim.kozlov@mail.ru;Аспирантура;Системный администратор
737;Семёнов Тарас Борисович;1995-04-25;Екатеринбург;+79823661804;soft86402@list.ru;Общее среднее;Юрист
738;Дмитриев Вадим Антонович;1994-08-04;Волгоград;+79895556038;max2463@mail.ru;Высшее;Сварщик
739;Соловьёв Павел Тарасович;1980-06-10;Санкт-Петербург;+79502364091;smirnov.dmitriy@yandex.ru;Среднее;Курьер
740;Козлов Семён Игоревич;2004-04-30;Екатеринбург;+79224487331;client35372@inbox.ru;Среднее;Исследовательская деятельность
741;Орлов Игорь Львович;1986-01-11;Челябинск;+79121727995;vorobyov_egor@bk.ru;Высшее;Научный сотрудник
742;Степанов Андрей Николаевич;2000-07-30;Санкт-Петербург;+79313614974;nikita41132@inbox.ru;Общее среднее;Финансовый аналитик
743;Иванов Максим Антонович;1990-11-25;Красноярск;+79232795994;serg69867@mail.ru;Аспирантура;Дизайнер интерфейсов
744;Степанов Александр Николаевич;1977-03-24;Воронеж;+79304603198;user22385@rambler.ru;Магистратура;Бариста
745;Соловьёв Иван Иванович;1982-02-03;Новосибирск;+79237916617;client73967@list.ru;Среднее специальное;Бухгалтер
746;Ильин Павел Константинович;2006-05-15;Москва;+79771568719;kirill21707@yandex.ru;Высшее;Исследовательская деятельность
747;Сидоров Глеб Львович;1976-03-07;Омск;+79623326799;learn35515@list.ru;Среднее;Системный администратор
748;Семёнов Матвей Даниилович;1976-03-25;Казань;+79622745871;test8429@mail.ru;Магистратура;Бариста
749;Смирнов Дмитрий Петрович;1971-11-12;Новосибирск;+79835344278;app66931@bk.ru;Профессиональное;Финансовый аналитик
750;Филиппов Виктор Игоревич;1989-02-20;Екатеринбург;+79921822428;account88879@yandex.ru;Магистратура;Маркетолог
751;Степанов Ян Маркелович;1981-06-29;Уфа;+79371366610;ivan74375@yandex.ru;Среднее специальное;Опыт работы 2 года
752;Орлов Константин Платонович;1977-07-30;Челябинск;+79227060137;andrey20048@yandex.ru;Общее среднее;Менеджер по продажам
753;Фёдоров Савва Егорович;1983-12-01;Краснодар;+79182150902;roma19528@gmail.com;Среднее;Менеджер по продажам
754;Новиков Александр Викторович;1974-11-11;Ижевск;+79192945987;core64636@yandex.ru;Профессиональное;Менеджер по продажам
755;Соловьёв Виктор Евгеньевич;1975-07-22;Тюмень;+79825256079;app17225@yandex.ru;Аспирантура;Сварщик
756;Орлов Глеб Борисович;1986-09-12;Краснодар;+79192325036;admin48138@inbox.ru;Среднее специальное;Дизайнер интерфейсов
757;Попов Роберт Евгеньевич;1995-07-12;Нижний Новгород;+79918983849;semyonovmark@gmail.com;Общее среднее;Готов к переезду
758;Медведев Демид Сергеевич;1996-03-30;Омск;+79131220094;info8199@list.ru;Неоконченное высшее;Готов к переезду
759;Егоров Георгий Юрьевич;1979-06-19;Уфа;+79879783504;study70609@mail.ru;Аспирантура;Исследовательская деятельность
760;Петров Егор Львович;1979-08-08;Саратов;+79878739106;study66487@inbox.ru;Профессиональное;Ищет работу по специальности
761;Андреев Дмитрий Фёдорович;1996-02-16;Екатеринбург;+79677125040;study60806@bk.ru;Общее среднее;Дизайнер интерфейсов
762;Орлов Платон Максимович;2006-03-29;Ростов-на-Дону;+79195087396;career28202@mail.ru;Среднее;Бухгалтер
763;Васильев Иван Даниилович;1973-11-19;Санкт-Петербург;+79044244481;info88493@bk.ru;Высшее;Системный администратор
764;Семёнов Евгений Игоревич;1972-09-01;Уфа;+79671421839;vladimir.fyodorov@yandex.ru;Аспирантура;Системный администратор
765;Медведев Борис Антонович;1974-01-18;Новосибирск;+79133947973;dima39215@gmail.com;Среднее специальное;Студент последнего курса
766;Сергеев Матвей Игоревич;1994-11-01;Красноярск;+79539228180;viktor.grigorev@mail.ru;Неоконченное высшее;Готов к переезду
767;Ильин Платон Никитич;1980-07-29;Пермь;+79088884493;test61672@inbox.ru;Высшее;Опыт работы 2 года
768;Соловьёв Максим Михайлович;1988-08-27;Нижний Новгород;+79305295916;ivanovrobert@bk.ru;Аспирантура;Сварщик
769;Козлов Павел Владимирович;2005-07-28;Новосибирск;+79637767047;career78804@mail.ru;Среднее;Исследовательская деятельность
770;Орлов Лев Янович;2000-06-11;Казань;+79373291792;tech6845@inbox.ru;Среднее;Дизайнер интерфейсов
771;Алексеев Илья Егорович;1985-10-26;Тольятти;+79371512729;ivan59187@yandex.ru;Профессиональное;Научный сотрудник
772;Никитин Юрий Георгиевич;1999-02-11;Казань;+79277984350;dima77210@gmail.com;Аспирантура;Юрист
773;Волков Пётр Евгеньевич;1985-09-21;Екатеринбург;+79227332283;learn63491@gmail.com;Аспирантура;Курьер
774;Яковлев Степан Устинович;1982-06-01;Челябинск;+79221221557;kozlov.boris@mail.ru;Среднее;Разработчик ПО
775;Григорьев Дмитрий Артурович;1992-09-29;Волгоград;+79379723358;filippovanton@gmail.com;Неоконченное высшее;Фрилансер
776;Кузнецов Роберт Артурович;1985-03-30;Челябинск;+79124855660;serg38969@rambler.ru;Высшее;Исследовательская деятельность
777;Морозов Тимур Фёдорович;2004-03-29;Волгоград;+79376762596;client53471@mail.ru;Аспирантура;Исследовательская деятельность
778;Романов Дмитрий Германович;1979-04-23;Тюмень;+79126598553;account5293@inbox.ru;Общее среднее;Исследовательская деятельность
779;Козлов Никита Русланович;1990-08-20;Москва;+79158839714;manager10244@rambler.ru;Высшее;Фрилансер
780;Сергеев Иван Иванович;1976-11-16;Саратов;+79171445974;ivan56781@mail.ru;Среднее;Системный администратор
781;Кузнецов Роберт Семёнович;1993-08-12;Ростов-на-Дону;+79284701183;cloud51357@rambler.ru;Аспирантура;Опыт работы 2 года
782;Попов Семён Филиппович;2000-10-05;Челябинск;+79122795425;aleksey.morozov@list.ru;Магистратура;Исследовательская деятельность
783;Волков Александр Саввич;2005-07-30;Новосибирск;+79533088054;account61340@inbox.ru;Аспирантура;Готов к переезду
784;Алексеев Павел Андреевич;2006-08-01;Екатеринбург;+79229358787;client43384@mail.ru;Среднее специальное;Маркетолог
785;Степанов Егор Егорович;1998-09-13;Санкт-Петербург;+79119597662;ivan68107@list.ru;Аспирантура;Ищет работу по специальности
786;Романов Виктор Ильич;1976-01-11;Ростов-на-Дону;+79883041108;data50774@yandex.ru;Среднее специальное;Курьер
787;Медведев Георгий Сергеевич;1972-09-21;Тюмень;+79822738525;career42342@yandex.ru;Неоконченное высшее;Бухгалтер
788;Иванов Антон Игоревич;1980-11-25;Ижевск;+79637582079;user80314@rambler.ru;Высшее;Менеджер по продажам
789;Фёдоров Тарас Егорович;1996-07-04;Самара;+79601654020;tech17296@gmail.com;Неоконченное высшее;Бариста
790;Григорьев Максим Русланович;2000-10-17;Саратов;+79275254036;job68231@bk.ru;Магистратура;Системный администратор
791;Сидоров Антон Павлович;1992-07-30;Краснодар;+79523889047;solovyov.igor@rambler.ru;Профессиональное;Студент последнего курса
792;Фёдоров Лев Максимович;1996-11-17;Воронеж;+79602647604;web80858@gmail.com;Неоконченное высшее;Дизайнер интерфейсов
793;Сидоров Сергей Маркелович;1977-03-07;Воронеж;+79604176961;app48489@gmail.com;Неоконченное высшее;Фрилансер
794;Андреев Даниил Александрович;2003-12-27;Ростов-на-Дону;+79645536897;ustin.zaytsev@mail.ru;Аспирантура;Курьер
795;Павлов Никита Алексеевич;1979-04-17;Пермь;+79926193439;temp29964@rambler.ru;Среднее специальное;Сварщик
796;Морозов Роман Тимофеевич;2002-01-29;Омск;+79238230389;roma27744@gmail.com;Магистратура;Юрист
797;Медведев Игорь Дмитриевич;1992-10-24;Ижевск;+79828534046;pasha85424@yandex.ru;Среднее специальное;Ищет работу по специальности
798;Воробьёв Кирилл Максимович;1977-04-13;Ижевск;+79227903188;app71383@inbox.ru;Аспирантура;Ищет работу по специальности
799;Романов Ян Германович;2003-10-04;Омск;+79131086155;temp1204@mail.ru;Среднее;Опыт работы 2 года
800;Степанов Сергей Егорович;1987-06-25;Ижевск;+79824882171;pasha6192@bk.ru;Среднее специальное;Логист
801;Медведев Тарас Андреевич;1986-07-20;Новосибирск;+79633794872;makarovaleksandr@bk.ru;Профессиональное;Ищет работу по специальности
802;Смирнов Сергей Ильич;1971-05-28;Санкт-Петербург;+79522891683;cloud48661@inbox.ru;Среднее;Автомеханик
803;Дмитриев Кирилл Никитич;1989-04-21;Красноярск;+79539105135;sokolov_robert@inbox.ru;Среднее специальное;Ищет работу по специальности
804;Смирнов Дмитрий Артурович;1985-05-30;Ростов-на-Дону;+79883507303;kirill75445@list.ru;Среднее;Курьер
805;Дмитриев Сергей Фёдорович;1970-08-12;Новосибирск;+79136011465;zaytsevstepan@bk.ru;Общее среднее;Финансовый аналитик
806;Никитин Егор Никитич;1976-06-08;Краснодар;+79612960946;work87609@inbox.ru;Среднее;Юрист
807;Борисов Маркел Владимирович;1991-05-10;Ростов-на-Дону;+79503348279;account1479@gmail.com;Неоконченное высшее;Автомеханик
808;Попов Тарас Игоревич;1985-05-04;Ростов-на-Дону;+79282410302;app15006@bk.ru;Среднее;Фрилансер
809;Зайцев Сергей Степанович;1981-07-24;Ижевск;+79823442267;andrey68274@bk.ru;Аспирантура;Опыт работы 2 года
810;Егоров Георгий Егорович;1974-02-21;Уфа;+79373682912;project84714@inbox.ru;Магистратура;Финансовый аналитик
811;Кузьмин Тарас Викторович;1970-03-26;Воронеж;+79303899307;job7244@inbox.ru;Неоконченное высшее;Сварщик
812;Семёнов Герман Вадимович;2001-02-11;Уфа;+79174912010;user16024@bk.ru;Высшее;Сварщик
813;Сергеев Михаил Евгеньевич;1995-01-14;Ижевск;+79507852949;sys20826@mail.ru;Неоконченное высшее;Ищет работу по специальности
814;Алексеев Сергей Михайлович;1975-08-01;Саратов;+79606853033;info83056@yandex.ru;Высшее;Готов к переезду
815;Соколов Тимофей Романович;2002-08-08;Омск;+79628445999;serg34766@bk.ru;Аспирантура;Автомеханик
816;Ильин Глеб Фёдорович;1981-08-21;Ижевск;+79638041617;work82302@mail.ru;Неоконченное высшее;Системный администратор
817;Ильин Савва Константинович;2002-04-18;Саратов;+79272182046;max61180@list.ru;Неоконченное высшее;Опыт работы 2 года
818;Семёнов Артур Артурович;1989-11-19;Тюмень;+79323608444;andrey13698@list.ru;Неоконченное высшее;Разработчик ПО
819;Воробьёв Маркел Никитич;2000-04-04;Екатеринбург;+79822245498;ivan.filippov@mail.ru;Среднее специальное;Фрилансер
820;Соколов Вадим Устинович;1976-08-01;Тюмень;+79827859589;study6435@rambler.ru;Общее среднее;Опыт работы 2 года
821;Филиппов Иван Кириллович;1973-09-21;Самара;+79676596065;work80898@yandex.ru;Высшее;Сварщик
822;Дмитриев Максим Дмитриевич;1984-03-23;Казань;+79672047440;career31569@list.ru;Аспирантура;Автомеханик
823;Иванов Илья Николаевич;1991-04-11;Саратов;+79172080634;serg16985@gmail.com;Среднее специальное;Опыт работы 2 года
824;Семёнов Никита Никитич;1990-04-02;Ижевск;+79637752850;study32010@rambler.ru;Высшее;Финансовый аналитик
825;Алексеев Роберт Романович;1981-04-20;Волгоград;+79178986872;job36012@mail.ru;Среднее;Ищет работу по специальности
826;Андреев Степан Германович;2000-04-25;Самара;+79277205257;random34414@yandex.ru;Среднее;Опыт работы 2 года
827;Сидоров Артём Денисович;1986-03-15;Санкт-Петербург;+79501324091;kirill12253@mail.ru;Аспирантура;Студент последнего курса
828;Морозов Егор Никитич;1985-01-12;Самара;+79875786230;temp83995@yandex.ru;Среднее;Юрист
829;Фёдоров Никита Дмитриевич;1979-02-20;Нижний Новгород;+79601111116;dima68243@yandex.ru;Среднее;Студент последнего курса
830;Медведев Матвей Ильич;1989-08-14;Волгоград;+79899927499;temp79180@bk.ru;Высшее;Опыт работы 2 года
831;Васильев Дмитрий Тимурович;1971-02-26;Краснодар;+79524222722;kirill26165@mail.ru;Профессиональное;Маркетолог
832;Петров Александр Янович;1990-05-20;Омск;+79831837008;admin22183@list.ru;Среднее специальное;Менеджер по продажам
833;Попов Роман Алексеевич;1993-09-16;Краснодар;+79615734172;pavlov.daniil@yandex.ru;Высшее;Финансовый аналитик
834;Соловьёв Марк Тимофеевич;2005-11-23;Самара;+79624331895;mail65720@yandex.ru;Среднее;Маркетолог
835;Андреев Георгий Владимирович;1982-04-21;Новосибирск;+79931481867;admin77896@bk.ru;Общее среднее;Логист
836;Орлов Егор Иванович;2004-12-25;Тюмень;+79221964308;info72118@yandex.ru;Неоконченное высшее;Разработчик ПО
837;Сидоров Александр Саввич;1976-06-24;Воронеж;+79615266636;alex27123@bk.ru;Профессиональное;Студент последнего курса
838;Орлов Дмитрий Тимурович;1990-02-14;Омск;+79135738912;aleksandr.sergeev@yandex.ru;Магистратура;Ищет работу по специальности
839;Егоров Андрей Михайлович;1982-07-14;Самара;+79627172693;project10183@bk.ru;Неоконченное высшее;Менеджер по продажам
840;Ильин Олег Семёнович;2005-09-17;Нижний Новгород;+79613082785;manager21672@rambler.ru;Неоконченное высшее;Разработчик ПО
841;Соловьёв Юрий Янович;2003-02-21;Тюмень;+79089151120;petrovviktor@gmail.com;Аспирантура;Научный сотрудник
842;Кузьмин Платон Викторович;1983-05-22;Омск;+79933351131;random35275@gmail.com;Аспирантура;Студент последнего курса
843;Семёнов Герман Викторович;1990-05-29;Новосибирск;+79933048413;daniil.egorov@mail.ru;Профессиональное;Финансовый аналитик
844;Зайцев Степан Степанович;1987-08-03;Омск;+79519939614;max52617@yandex.ru;Магистратура;Дизайнер интерфейсов
845;Никитин Кирилл Андреевич;1971-07-29;Ижевск;+79227201149;tech47547@yandex.ru;Среднее специальное;Финансовый аналитик
846;Зайцев Юрий Андреевич;1981-06-02;Ростов-на-Дону;+79196188285;dima81308@rambler.ru;Магистратура;Юрист
847;Васильев Юрий Никитич;1991-06-26;Москва;+79034092857;test41669@list.ru;Высшее;Ищет работу по специальности
848;Григорьев Владимир Сергеевич;1978-05-07;Ижевск;+79199165399;cloud17102@yandex.ru;Общее среднее;Студент последнего курса
849;Зайцев Михаил Тимофеевич;1989-01-12;Воронеж;+79201550403;pasha69694@yandex.ru;Профессиональное;Бариста
850;Никитин Тимофей Алексеевич;1999-03-22;Ижевск;+79222593356;kuznetsov.georgiy@gmail.com;Общее среднее;Курьер
851;Новиков Илья Денисович;2003-08-10;Тюмень;+79228457204;roma47592@rambler.ru;Аспирантура;Научный сотрудник
852;Павлов Кирилл Владимирович;1986-09-17;Омск;+79834503341;random76983@rambler.ru;Среднее;Бариста
853;Сидоров Кирилл Егорович;1987-05-27;Волгоград;+79173559701;sidorovmikhail@list.ru;Аспирантура;Научный сотрудник
854;Григорьев Николай Петрович;1976-05-13;Санкт-Петербург;+79311814586;alex39835@yandex.ru;Среднее специальное;Логист
855;Иванов Михаил Маркович;1972-03-21;Красноярск;+79931905939;mail12020@rambler.ru;Профессиональное;Маркетолог
856;Алексеев Тарас Кириллович;1999-03-05;Санкт-Петербург;+79319988310;sidorov.markel@rambler.ru;Среднее;Фрилансер
857;Соколов Артём Семёнович;1992-05-08;Челябинск;+79126460363;medvedev.vadim@yandex.ru;Магистратура;Исследовательская деятельность
858;Никитин Антон Сергеевич;2001-09-09;Нижний Новгород;+79616126093;alex29855@yandex.ru;Среднее специальное;Исследовательская деятельность
859;Григорьев Руслан Платонович;1999-01-11;Челябинск;+79082715407;learn38913@gmail.com;Среднее специальное;Логист
860;Андреев Денис Тимофеевич;1976-10-24;Ижевск;+79224283500;max9993@yandex.ru;Общее среднее;Бухгалтер
861;Андреев Лев Демидович;1978-11-21;Челябинск;+79229564146;cloud4455@gmail.com;Аспирантура;Опыт работы 2 года
862;Смирнов Никита Тарасович;2001-08-12;Краснодар;+79895773323;serg80435@bk.ru;Магистратура;Курьер
863;Григорьев Фёдор Янович;1974-05-11;Волгоград;+79174160801;dev69201@gmail.com;Аспирантура;Ищет работу по специальности
864;Смирнов Николай Львович;2005-08-02;Тольятти;+79872401590;fyodorov.fyodor@gmail.com;Неоконченное высшее;Финансовый аналитик
865;Захаров Антон Евгеньевич;1978-02-08;Тюмень;+79129930028;project41407@list.ru;Общее среднее;Юрист
866;Николаев Лев Семёнович;1993-07-19;Казань;+79627983538;career42501@gmail.com;Среднее;Юрист
867;Григорьев Андрей Ильич;1975-11-10;Ижевск;+79198243811;data61915@bk.ru;Неоконченное высшее;Студент последнего курса
868;Иванов Юрий Демидович;1994-12-18;Екатеринбург;+79512014100;support53732@rambler.ru;Профессиональное;Опыт работы 2 года
869;Николаев Лев Демидович;1976-05-07;Тольятти;+79875954157;hard80881@rambler.ru;Высшее;Автомеханик
870;Борисов Артур Павлович;1978-12-09;Казань;+79606272497;contact69196@inbox.ru;Неоконченное высшее;Сварщик
871;Волков Семён Янович;1994-10-11;Краснодар;+79191069837;serg7908@bk.ru;Профессиональное;Юрист
872;Никитин Денис Константинович;1976-09-05;Екатеринбург;+79126703771;kirill20850@gmail.com;Аспирантура;Научный сотрудник
873;Новиков Вадим Семёнович;1975-01-12;Уфа;+79678759585;aleksey.popov@yandex.ru;Магистратура;Финансовый аналитик
874;Егоров Марк Максимович;1993-12-11;Тольятти;+79879147540;app27432@bk.ru;Аспирантура;Автомеханик
875;Кузнецов Игорь Фёдорович;1972-07-04;Санкт-Петербург;+79525712262;project79821@bk.ru;Высшее;Менеджер по продажам
876;Павлов Михаил Вадимович;1978-04-06;Воронеж;+79611073389;web15842@rambler.ru;Профессиональное;Финансовый аналитик
877;Кузьмин Александр Русланович;1990-08-05;Пермь;+79226222293;random48146@gmail.com;Аспирантура;Фрилансер
878;Никитин Тимофей Викторович;2005-12-28;Омск;+79839493336;novikov_andrey@bk.ru;Магистратура;Ищет работу по специальности
879;Смирнов Марк Робертович;1983-08-15;Краснодар;+79192607913;andrey37476@inbox.ru;Среднее специальное;Дизайнер интерфейсов
880;Сидоров Борис Матвеевич;1985-07-31;Краснодар;+79619374374;ivan45166@mail.ru;Среднее;Автомеханик
881;Лебедев Борис Тарасович;1993-07-28;Екатеринбург;+79121308464;random13384@bk.ru;Среднее специальное;Исследовательская деятельность
882;Васильев Марк Никитич;1980-04-27;Санкт-Петербург;+79112717435;roma59808@rambler.ru;Магистратура;Опыт работы 2 года
883;Васильев Денис Артурович;1982-09-18;Челябинск;+79826912453;pasha68756@list.ru;Среднее специальное;Опыт работы 2 года
884;Соловьёв Тарас Денисович;1973-09-14;Воронеж;+79102606019;fyodorovgleb@bk.ru;Профессиональное;Курьер
885;Филиппов Роберт Олегович;1977-03-13;Екатеринбург;+79517956261;kuzmin_georgiy@yandex.ru;Среднее специальное;Логист
886;Алексеев Артём Михайлович;1981-06-28;Тольятти;+79609951789;learn48500@inbox.ru;Неоконченное высшее;Дизайнер интерфейсов
887;Яковлев Степан Дмитриевич;1983-06-10;Ростов-на-Дону;+79898488115;data62061@gmail.com;Среднее специальное;Финансовый аналитик
888;Яковлев Михаил Кириллович;1973-01-18;Новосибирск;+79832026754;hard10356@inbox.ru;Среднее;Готов к переезду
889;Новиков Сергей Даниилович;1989-10-13;Челябинск;+79674724852;cloud70044@list.ru;Среднее специальное;Сварщик
890;Новиков Георгий Маркелович;2002-03-05;Казань;+79279056788;data2672@rambler.ru;Аспирантура;Дизайнер интерфейсов
891;Воробьёв Евгений Львович;1979-06-26;Ижевск;+79639354417;data74454@gmail.com;Среднее специальное;Разработчик ПО
892;Павлов Денис Алексеевич;1981-05-19;Москва;+79668971275;cloud62602@list.ru;Общее среднее;Логист
893;Егоров Ян Михайлович;1989-08-07;Новосибирск;+79197963445;learn3661@yandex.ru;Общее среднее;Юрист
894;Петров Евгений Даниилович;1999-05-08;Краснодар;+79194009766;ilin.nikita@bk.ru;Высшее;Ищет работу по специальности
895;Степанов Савва Русланович;1993-01-19;Нижний Новгород;+79616098011;project63117@bk.ru;Высшее;Юрист
896;Лебедев Пётр Егорович;1976-11-06;Казань;+79376529646;client21542@inbox.ru;Магистратура;Опыт работы 2 года
897;Волков Фёдор Демидович;1978-03-26;Тольятти;+79609359779;user52028@bk.ru;Неоконченное высшее;Дизайнер интерфейсов
898;Андреев Денис Фёдорович;1975-09-13;Казань;+79174444181;admin25830@gmail.com;Высшее;Научный сотрудник
899;Фёдоров Роберт Максимович;1983-03-07;Уфа;+79607747057;support18108@mail.ru;Высшее;Готов к переезду
900;Андреев Роберт Владимирович;1995-05-31;Казань;+79874237359;client67789@rambler.ru;Неоконченное высшее;Научный сотрудник
